,Types,DP_score
2167,the,0.057346043
90,and,0.10043177
1,a,0.103659332
2208,to,0.104073576
1060,in,0.130695618
846,for,0.135148495
1478,on,0.147649763
293,by,0.152377347
2182,this,0.155037719
143,at,0.164750224
2166,that,0.20117513
1461,of,0.202865651
1448,not,0.209416249
1129,it,0.214454372
134,as,0.219118051
2407,with,0.227125338
2287,up,0.245704197
2378,when,0.246520906
190,be,0.247178327
979,have,0.249146921
878,from,0.251674707
1124,is,0.261922633
2353,was,0.278138723
983,he,0.280328146
193,because,0.281974162
87,an,0.282244282
1998,some,0.282385904
2169,them,0.292353005
1993,so,0.307785171
975,has,0.313241994
1372,more,0.31863205
2362,we,0.320533172
292,but,0.32225431
109,any,0.324779099
1876,said,0.325393921
123,are,0.336008236
2383,which,0.336224137
1520,over,0.337504091
1515,out,0.338083161
2399,will,0.338125886
2168,their,0.343247022
197,been,0.34468547
2176,they,0.354596592
2388,who,0.370307483
1377,most,0.372204647
2200,time,0.373889434
2375,what,0.374921904
1309,may,0.375509981
2172,there,0.377244464
66,all,0.383648387
817,first,0.38645041
75,also,0.387543483
2184,those,0.390606775
189,bbc,0.391542787
2436,you,0.39359348
692,end,0.395876514
957,had,0.400862019
2431,years,0.407876077
630,down,0.414295424
2425,would,0.416777572
1015,his,0.420349835
6,about,0.420376449
402,come,0.422711901
775,far,0.434384204
1049,if,0.438730899
1427,next,0.444598709
1271,made,0.449220028
1502,or,0.452453677
2171,then,0.453583506
1462,off,0.456234319
2430,year,0.461706847
301,can,0.463530872
1111,into,0.463846769
483,could,0.465304292
643,during,0.466525184
2058,still,0.466613335
893,further,0.4670012
2261,two,0.467386213
132,around,0.469182939
2415,work,0.473000982
1291,many,0.473337333
1481,one,0.475029999
418,company,0.475073634
1747,really,0.48412785
198,before,0.484346024
626,don,0.48554598
1511,other,0.494430506
2164,than,0.495760485
1066,including,0.498636413
1422,never,0.500599978
167,back,0.5022431
5,able,0.507581542
1528,own,0.507908803
1738,re,0.508365605
2218,top,0.511072325
1513,our,0.515484285
931,good,0.516417585
621,doing,0.519362932
1917,see,0.519362932
42,after,0.523447632
1450,now,0.526569488
922,go,0.530926148
1199,lead,0.533216974
1611,points,0.534853278
1839,right,0.537956196
2264,uk,0.539470119
2190,through,0.54368932
220,big,0.544671103
532,day,0.545919542
2134,take,0.549907276
1192,later,0.550561798
1034,how,0.55405258
815,firm,0.555143449
1391,much,0.555143449
1160,keep,0.56332497
582,did,0.563979492
12,access,0.565321261
1485,only,0.566706665
912,get,0.567033926
2371,were,0.567606632
297,called,0.567797535
1248,long,0.568124795
1653,prime,0.572051925
1979,since,0.574375477
1346,minister,0.57454638
648,earlier,0.574779099
1158,just,0.575324534
74,already,0.578160794
1131,its,0.579465474
980,having,0.579469837
1423,new,0.579797098
1563,people,0.581477845
1821,rest,0.582306098
588,difficult,0.58437875
1226,like,0.585469619
1281,making,0.586124141
362,chief,0.586481153
1190,last,0.589816314
2212,told,0.591820038
873,friday,0.592123923
2380,where,0.594523835
2098,such,0.594851096
2361,way,0.595614705
2385,while,0.596596487
1911,second,0.600741791
1823,result,0.602814443
1319,means,0.603032617
2226,towards,0.605323443
1013,him,0.605524834
2294,us,0.605977964
766,failed,0.614486746
2305,ve,0.616777572
617,do,0.616995746
593,director,0.618413876
481,costs,0.619068398
2314,very,0.625286353
2341,want,0.628668048
2418,working,0.630304353
986,health,0.630304353
405,coming,0.632922439
1454,numbers,0.635213265
1914,secure,0.635213265
1185,large,0.635976874
936,great,0.636631395
