"","sum_of_smaller_dv","v","Types","ARF","f","percent_change"
"1",7342,1144,"most",6.41783216783217,8,19.7770979020979
"2",5614,37,"of",151.72972972973,242,37.3017645744918
"3",6031,16,"the",376.9375,542,30.4543357933579
"4",2812,1144,"music",2.45804195804196,8,69.2744755244755
"5",1464,763,"festivals",1.91874180865007,12,84.0104849279161
"6",6814,1017,"still",6.70009832841691,9,25.5544630175899
"7",1050,3052,"due",0.344036697247706,3,88.5321100917431
"8",6096,35,"to",174.171428571429,259,32.7523441809156
"9",6705,1308,"take",5.12614678899083,7,26.7693315858453
"10",5222,1831,"place",2.85199344620426,5,42.9601310759148
"11",5561,176,"this",31.5965909090909,52,39.2373251748252
"12",4402,305,"year",14.4327868852459,30,51.8907103825137
"13",4725,508,"could",9.3011811023622,18,48.3267716535433
"14",5379,212,"be",25.372641509434,43,40.9938569548047
"15",134,4578,"scrapped",0.0292704237658366,2,98.5364788117082
"16",4299,1831,"without",2.34789732386674,5,53.0420535226652
"17",6130,1831,"safety",3.34789732386674,5,33.0420535226652
"18",1274,3052,"net",0.41743119266055,3,86.085626911315
"19",3442,572,"government",6.01748251748252,16,62.3907342657343
"20",394,4578,"backed",0.0860637833114897,2,95.6968108344255
"21",928,2289,"cancellation",0.405417212756662,4,89.8645696810834
"22",1370,1144,"insurance",1.19755244755245,8,85.0305944055944
"23",1138,2289,"organisers",0.497160332022717,4,87.5709916994321
"24",5477,160,"have",34.23125,57,39.9451754385965
"25",6644,3052,"warned",2.17693315858453,3,27.4355613805155
"26",5857,44,"a",133.113636363636,204,34.7482174688057
"27",0,9156,"quarter",0,1,100
"28",3976,295,"uk",13.4779661016949,31,56.5226899945325
"29",4774,915,"already",5.21748633879781,10,47.8251366120219
"30",4509,223,"been",20.219730941704,41,50.6835830690145
"31",7513,1526,"called",4.92332896461337,6,17.9445172564439
"32",5712,915,"off",6.24262295081967,10,37.5737704918033
"33",5304,160,"but",33.15,57,41.8421052631579
"34",7185,2289,"rest",3.1389252948886,4,21.5268676277851
"35",5260,190,"are",27.6842105263158,48,42.3245614035088
"36",5693,186,"at",30.6075268817204,49,37.5356594250603
"37",4594,1308,"risk",3.51223241590214,7,49.825251201398
"38",1110,4578,"according",0.242463958060288,2,87.8768020969856
"39",5224,832,"industry",6.27884615384615,11,42.9195804195804
"40",808,3052,"association",0.264744429882045,3,91.1751856705985
"41",4733,2289,"independent",2.06771515945828,4,48.307121013543
"42",1098,1526,"aif",0.719528178243775,6,88.0078636959371
"43",5161,194,"has",26.6030927835052,47,43.3976749287124
"44",5781,95,"for",60.8526315789474,96,36.6118421052632
"45",7588,4578,"urgent",1.65749235474006,2,17.1253822629969
"46",0,9156,"intervention",0,1,100
"47",8888,3052,"save",2.91218872870249,3,2.92704237658366
"48",2403,610,"season",3.93934426229508,15,73.7377049180328
"49",4903,115,"said",42.6347826086957,79,46.0319207484865
"50",5197,98,"it",53.030612244898,93,42.9778362958087
"51",5339,106,"was",50.3679245283019,86,41.4326458973234
"52",430,4578,"exploring",0.0939274792485802,2,95.303626037571
"53",5421,416,"what",13.03125,22,40.7670454545455
"54",6654,1144,"further",5.81643356643357,8,27.2945804195804
"55",3860,1017,"support",3.79547689282203,9,57.8280345241997
"56",430,4578,"provide",0.0939274792485802,2,95.303626037571
"57",1646,1017,"events",1.61848574237955,9,82.0168250846717
"58",4897,194,"had",25.2422680412371,47,46.2930467207721
"59",6349,654,"because",9.70795107033639,14,30.6574923547401
"60",0,9156,"inaction",0,1,100
"61",5536,98,"on",56.4897959183673,93,39.2582839587448
"62",0,9156,"calling",0,1,100
"63",5226,572,"back",9.13636363636364,16,42.8977272727273
"64",5430,105,"that",51.7142857142857,87,40.5582922824302
"65",4683,457,"would",10.2472647702407,20,48.7636761487965
"66",4368,4578,"allow",0.954128440366973,2,52.2935779816514
"67",5348,1017,"go",5.25860373647984,9,41.5710695946684
"68",5137,1308,"ahead",3.92737003058104,7,43.8947138488423
"69",5292,132,"with",40.0909090909091,69,41.897233201581
"70",4817,208,"their",23.1586538461538,44,47.3666958041958
"71",6626,3052,"plans",2.17103538663172,3,27.6321537789428
"72",0,9156,"suffering",0,1,100
"73",950,3052,"financial",0.31127129750983,3,89.6242900830057
"74",0,9156,"losses",0,1,100
"75",5469,704,"if",7.76846590909091,13,40.2425699300699
"76",4466,199,"they",22.4422110552764,46,51.2125846624427
"77",4334,457,"were",9.4835886214442,20,52.582056892779
"78",9156,4578,"forced",2,2,0
"79",1306,4578,"cancel",0.285277413717781,2,85.736129314111
